spotted,battles_on_stunning_vehicles,hits,battle_avg_xp,draws,max_xp,survived_battles,wins,losses,capture_points,battles,damage_dealt,damage_received,max_frags,shots,frags,max_damage,xp,avg_damage_assisted,piercings,user_id,nickname,wn8
1458,0,4974,165,24,725,269,583,566,2775,1173,145803,163500,6,9533,715,396,193486,62.47,70,510558633,Zeitungsboy,"436,62"
1843,0,8341,421,27,2003,376,1039,1238,2289,2304,995191,1953342,6,12025,981,3476,970983,180.12,5343,555535175,Floki1212,"510,91"
1929,0,18413,286,56,1896,913,1307,1510,6108,2873,1311723,1799480,6,29350,1600,3420,821383,261.61,7314,510752691,Creciproque,"669,02"
2223,0,9959,365,19,1930,486,1130,1212,3273,2361,1031124,1511990,7,15278,1459,3713,862041,232.99,2553,506034072,zohaa,"691,53"
1051,0,5670,188,10,1334,266,777,959,1061,1746,253220,558598,6,12534,589,1340,328091,85.57,3324,632681709,RenamedUser_66423502,"166,54"
82421,323,308540,529,511,2948,7123,20989,17761,47018,39261,44297967,40431814,12,445297,39563,8572,20756486,435.11,126692,596786629,_Xaoc_532,"1745,23"
893,0,6365,261,8,1472,169,393,347,465,748,138308,113499,9,14779,799,1091,195307,41.32,4405,606864802,RenamedUser_62845770,"804,40"
376,0,6055,319,7,1838,224,332,261,746,600,249884,224884,8,11408,536,2489,191199,130.75,3821,599422593,Sonus_Noctis,"1187,53"
8940,182,35588,407,91,2408,1095,3361,3613,5321,7065,3643536,4945455,8,64039,4203,6017,2877989,341.78,13478,597539357,MishkaD,"819,23"
23,124,1161,423,7,1520,239,315,225,97,547,377338,86948,4,4387,460,3565,231519,82.92,1058,608093500,Arta_The_mercy,"1172,35"
11385,4,40496,281,136,1751,2990,6366,7068,16455,13570,5498853,8708559,8,81728,7295,4112,3812109,225.15,12900,599306548,vy31011982,"579,74"
14568,214,105888,649,149,2954,4779,7825,6568,15529,14542,15253044,11994686,9,163341,14811,6998,9434597,362.92,49227,500002702,Szalami111,"1704,35"
3955,93,23902,433,51,2273,536,1584,1566,1471,3201,1642980,2281246,7,43169,1946,4253,1386331,218.64,14908,575110837,Jakub_Bartnikiewicz,"919,95"
2602,13,17560,301,48,1336,1470,2365,2341,3717,4754,2560074,1672355,7,32731,3182,5984,1431099,141.12,9607,624078567,kott_vt,"896,28"
2723,0,26155,337,42,2221,1495,2457,2505,10544,5004,3010592,2857601,9,41705,3737,3979,1687032,190.11,10981,504220800,Jucilla,"947,16"
9268,0,38928,311,73,1737,1382,3362,3399,13745,6834,3029324,3845488,8,75003,5112,4864,2124101,179.33,17549,505786681,Discombobulator,"786,05"
4966,0,18428,279,45,1468,821,2447,2765,5187,5257,1941829,3433172,6,29831,2358,4871,1467063,175.56,11942,655269046,vladuha20001,"529,31"
181,146,1719,159,13,930,145,243,342,227,598,85414,124070,5,5076,290,924,95013,42.88,987,635336648,2005_283_93286363,"196,96"
740,0,7070,162,20,922,468,1117,1438,1131,2575,275123,1049823,5,18682,619,1902,417330,63.45,3465,536809424,MatynoCZ,"36,57"
54368,477,240518,491,424,2499,11411,21700,20168,45993,42292,43169415,39139588,8,364426,36192,8487,20757486,405.27,147301,507150387,kotekb,"1424,32"
1360,0,5964,256,10,1532,259,550,455,3256,1015,245015,303936,8,9754,790,1872,260346,66.08,3956,555408887,Cherniy998,"687,14"
366,0,2281,152,9,923,140,345,398,233,752,79692,240233,3,5685,220,1094,114094,60.53,1339,611298680,JAMIK_IBRAGIMOV,"88,98"
